,title,address.label,distance,access,position.lat,position.lng,address.postalCode,contacts,id
10,BBJ Verona Proposed,"BBJ Verona Proposed, Patliputra NGR-Oshiwara-Gulshan NGR, Jogeshwari West, Mumbai 400102, India",7991,"[{'lat': 19.14886, 'lng': 72.8389}]",19.14887,72.83901,400102,,here:pds:place:356te7uc-70596e9c0e29441e8897bb15e54f9e19
11,Bhagat Enterprises,"Bhagat Enterprises, Gagangiri Maharaj Marg, Sector 15, Ghansoli, Navi Mumbai 400701, India",8067,"[{'lat': 19.12502, 'lng': 72.98942}]",19.12502,72.98957,400701,[{'phone': [{'value': '+919987140408'}]}],here:pds:place:356te7uu-e5b5ef67de46464d94b4447689df318c
12,Shri Rajal Enclave,"Shri Rajal Enclave, Gagangiri Maharaj Marg, Sector 15, Ghansoli, Navi Mumbai 400701, India",8088,"[{'lat': 19.1251, 'lng': 72.9894}]",19.12511,72.98979,400701,,here:pds:place:356te7uu-f38c09714adc4ff69f500a97dfc874cc
13,Mo Sai Ram Real Estate,"Mo Sai Ram Real Estate, Sector 15, Ghansoli, Navi Mumbai 400701, India",8157,"[{'lat': 19.12551, 'lng': 72.99024}]",19.12559,72.9905,400701,[{'phone': [{'value': '+91983387393'}]}],here:pds:place:356te7uu-c9688969b93840a7b7538395b6b6ba74
14,Harsh Properties,"Harsh Properties, Sector 15, Ghansoli, Navi Mumbai 400701, India",8171,"[{'lat': 19.1261, 'lng': 72.99061}]",19.12591,72.99067,400701,[{'phone': [{'value': '+919619076009'}]}],here:pds:place:356te7uu-0e20cd511a644a028bf4a1d276df9888
15,Sonic Inspection Service,"Sonic Inspection Service, Sector 15, Ghansoli, Navi Mumbai 400701, India",8199,"[{'lat': 19.12342, 'lng': 72.99061}]",19.12339,72.99062,400701,[{'phone': [{'value': '+9197698334972'}]}],here:pds:place:356te7uu-c96bd139ea4342b9844dd2d9da0860c9
16,Kartik Enterprises,"Kartik Enterprises, Sector 14, Ghansoli, Navi Mumbai 400701, India",8299,"[{'lat': 19.1267, 'lng': 72.99208}]",19.12681,72.99199,400701,[{'phone': [{'value': '+919930183304'}]}],here:pds:place:356te7uu-5479447f384141e7a38d786f2e1e37f0
17,Imperial Height,"Imperial Height, Gagangiri Maharaj Marg, Sector 11, Ghansoli, Navi Mumbai 400701, India",8339,"[{'lat': 19.12016, 'lng': 72.9909}]",19.12042,72.99148,400701,,here:pds:place:356te7uu-ba985f65a8174e0d9455624139646a0a
18,Sainath Enterprises,"Sainath Enterprises, Sector 16, Ghansoli, Navi Mumbai 400701, India",8340,"[{'lat': 19.12684, 'lng': 72.99228}]",19.12673,72.99237,400701,[{'phone': [{'value': '+919664584207'}]}],here:pds:place:356te7uu-080e14bd16b34f97ae495d4a4c03fc59
19,Golden Plaza Apartment,"Golden Plaza Apartment, Shri Shankar P Niralkar Chowk, Nehru NGR, Kurla East, Mumbai 400024, India",8432,"[{'lat': 19.06381, 'lng': 72.88135}]",19.06384,72.88134,400024,,here:pds:place:356te7u6-cdec01ae22484fb5bf0d6110343d3998
