,title,id,language,ontologyId,resultType,access,distance,categories,contacts,address.label,address.countryCode,address.countryName,address.stateCode,address.state,address.county,address.city,address.district,address.subdistrict,address.street,address.postalCode,position.lat,position.lng
10,BBJ Verona Proposed,here:pds:place:356te7uc-70596e9c0e29441e8897bb15e54f9e19,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.14886, 'lng': 72.8389}]",7991,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]",,"BBJ Verona Proposed, Patliputra NGR-Oshiwara-Gulshan NGR, Jogeshwari West, Mumbai 400102, India",IND,India,MH,Maharashtra,Mumbai Suburban,Mumbai,Jogeshwari West,Patliputra NGR-Oshiwara-Gulshan NGR,,400102,19.14887,72.83901
11,Bhagat Enterprises,here:pds:place:356te7uu-e5b5ef67de46464d94b4447689df318c,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.12502, 'lng': 72.98942}]",8067,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}, {'id': '700-7200-0344', 'name': 'Property Management'}, {'id': '700-7400-0145', 'name': 'Real Estate Services'}]",[{'phone': [{'value': '+919987140408'}]}],"Bhagat Enterprises, Gagangiri Maharaj Marg, Sector 15, Ghansoli, Navi Mumbai 400701, India",IND,India,MH,Maharashtra,Thane,Navi Mumbai,Ghansoli,Sector 15,Gagangiri Maharaj Marg,400701,19.12502,72.98957
12,Shri Rajal Enclave,here:pds:place:356te7uu-f38c09714adc4ff69f500a97dfc874cc,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.1251, 'lng': 72.9894}]",8088,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]",,"Shri Rajal Enclave, Gagangiri Maharaj Marg, Sector 15, Ghansoli, Navi Mumbai 400701, India",IND,India,MH,Maharashtra,Thane,Navi Mumbai,Ghansoli,Sector 15,Gagangiri Maharaj Marg,400701,19.12511,72.98979
13,Mo Sai Ram Real Estate,here:pds:place:356te7uu-c9688969b93840a7b7538395b6b6ba74,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.12551, 'lng': 72.99024}]",8157,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]",[{'phone': [{'value': '+91983387393'}]}],"Mo Sai Ram Real Estate, Sector 15, Ghansoli, Navi Mumbai 400701, India",IND,India,MH,Maharashtra,Thane,Navi Mumbai,Ghansoli,Sector 15,,400701,19.12559,72.9905
14,Harsh Properties,here:pds:place:356te7uu-0e20cd511a644a028bf4a1d276df9888,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.1261, 'lng': 72.99061}]",8171,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}, {'id': '700-7200-0344', 'name': 'Property Management'}]",[{'phone': [{'value': '+919619076009'}]}],"Harsh Properties, Sector 15, Ghansoli, Navi Mumbai 400701, India",IND,India,MH,Maharashtra,Thane,Navi Mumbai,Ghansoli,Sector 15,,400701,19.12591,72.99067
15,Sonic Inspection Service,here:pds:place:356te7uu-c96bd139ea4342b9844dd2d9da0860c9,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.12342, 'lng': 72.99061}]",8199,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]",[{'phone': [{'value': '+9197698334972'}]}],"Sonic Inspection Service, Sector 15, Ghansoli, Navi Mumbai 400701, India",IND,India,MH,Maharashtra,Thane,Navi Mumbai,Ghansoli,Sector 15,,400701,19.12339,72.99062
16,Kartik Enterprises,here:pds:place:356te7uu-5479447f384141e7a38d786f2e1e37f0,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.1267, 'lng': 72.99208}]",8299,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]",[{'phone': [{'value': '+919930183304'}]}],"Kartik Enterprises, Sector 14, Ghansoli, Navi Mumbai 400701, India",IND,India,MH,Maharashtra,Thane,Navi Mumbai,Ghansoli,Sector 14,,400701,19.12681,72.99199
17,Imperial Height,here:pds:place:356te7uu-ba985f65a8174e0d9455624139646a0a,en,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.12016, 'lng': 72.9909}]",8339,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}, {'id': '700-7400-0145', 'name': 'Real Estate Services'}]",,"Imperial Height, Gagangiri Maharaj Marg, Sector 11, Ghansoli, Navi Mumbai 400701, India",IND,India,MH,Maharashtra,Thane,Navi Mumbai,Ghansoli,Sector 11,Gagangiri Maharaj Marg,400701,19.12042,72.99148
18,Sainath Enterprises,here:pds:place:356te7uu-080e14bd16b34f97ae495d4a4c03fc59,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.12684, 'lng': 72.99228}]",8340,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]",[{'phone': [{'value': '+919664584207'}]}],"Sainath Enterprises, Sector 16, Ghansoli, Navi Mumbai 400701, India",IND,India,MH,Maharashtra,Thane,Navi Mumbai,Ghansoli,Sector 16,,400701,19.12673,72.99237
19,Golden Plaza Apartment,here:pds:place:356te7u6-cdec01ae22484fb5bf0d6110343d3998,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 19.06381, 'lng': 72.88135}]",8432,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]",,"Golden Plaza Apartment, Shri Shankar P Niralkar Chowk, Nehru NGR, Kurla East, Mumbai 400024, India",IND,India,MH,Maharashtra,Mumbai Suburban,Mumbai,Kurla East,Nehru NGR,Shri Shankar P Niralkar Chowk,400024,19.06384,72.88134
